id,host_since,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,bathrooms,bedrooms,beds,price,availability_365,estimated_occupancy_l365d,number_of_reviews_ly,last_review,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,geometry,AREA,zona_peuat,Reviews
1170853990942722560,2015,1,1,1,el Besòs i el Maresme,Sant Martí,Entire home/apt,1,1,1,75,364,0,0,NA,NA,NA,NA,NA,NA,"c(434115.164760639, 4585656.63550153)",474.370862243,3,0
1170904035677459200,2012,1,2,2,el Barri Gòtic,Ciutat Vella,Entire home/apt,1,1,2,NA,0,0,0,NA,NA,NA,NA,NA,NA,"c(431371.10487138, 4581489.00741217)",1316.17983204,1,0
1170931554827840512,2014,0,2,2,la Vila Olímpica del Poblenou,Sant Martí,Entire home/apt,1,2,2,90,2,255,3,2025-02-08,5,5,5,5,5,"c(432221.978880023, 4582452.28780913)",1316.17983204,1,1
1166485725815781888,2015,1,2,2,la Sagrada Família,Eixample,Private room,3,1,1,30,7,72,10,2025-01-25,4.42,4.5,4.75,4.58,4,"c(430697.450136048, 4584427.75063066)",1334.33646724,2,1
1166500880850026496,2015,1,2,2,el Baix Guinardó,Horta-Guinardó,Private room,3,1,1,33,222,90,13,2025-02-18,4.13,4.33,4.33,4.33,3.67,"c(430525.522372266, 4584368.3324697)",1334.33646724,2,1
1166525640813641984,2015,1,2,2,la Vila de Gràcia,Gràcia,Private room,3,1,1,35,0,54,8,2025-01-12,4.33,4.11,4.22,4.67,4.22,"c(429889.607900237, 4583871.50022211)",1316.17983204,1,1
1166538861175856384,2024,1,2,2,el Raval,Ciutat Vella,Private room,1,1,1,62,77,255,28,2025-02-18,4.5,4.69,4.93,4.45,4.4,"c(430347.574270808, 4581265.77209464)",1316.17983204,1,1
1166615473878825472,2015,1,2,2,la Vila de Gràcia,Gràcia,Entire home/apt,1,2,0,103,157,60,1,2024-07-24,5,5,5,5,5,"c(429484.151969691, 4583612.29789332)",1316.17983204,1,1
1166664056811665408,2013,2,2,2,el Camp de l'Arpa del Clot,Sant Martí,Entire home/apt,1,1,2,199,365,186,2,2025-01-15,5,5,5,5,5,"c(431425.035322934, 4584907.12861558)",474.370862243,3,1
1166704385578544128,2017,2,2,2,la Dreta de l'Eixample,Eixample,Entire home/apt,1,1,1,49,265,180,3,2024-12-30,5,5,5,5,5,"c(431103.675233772, 4583195.89496381)",1316.17983204,1,1
1166746205652163584,2011,1,2,2,el Clot,Sant Martí,Entire home/apt,1,2,2,NA,27,0,0,NA,NA,NA,NA,NA,NA,"c(432172.20939499, 4584722.44300641)",474.370862243,3,0
1166755891553788672,2011,1,2,2,Sants - Badal,Sants-Montjuïc,Entire home/apt,1,2,3,NA,19,0,0,NA,NA,NA,NA,NA,NA,"c(426846.030639731, 4580545.84753147)",272.562045197,3,0
1170935599869558016,2012,2,2,2,Sant Antoni,Eixample,Entire home/apt,1,2,2,85,149,255,8,2025-02-15,4.9,5,5,4.8,4.9,"c(429901.184883958, 4581093.44358383)",1316.17983204,1,1
1171015201830501888,2024,1,2,2,el Raval,Ciutat Vella,Private room,1,1,1,82,206,216,27,2025-02-22,4.67,4.83,4.89,4.78,4.53,"c(430556.667732881, 4581687.79757899)",1316.17983204,1,1
1171077989136674816,2020,2,2,2,el Barri Gòtic,Ciutat Vella,Private room,NA,1,NA,NA,0,144,13,2025-03-02,4.96,4.96,4.96,4.75,4.96,"c(431051.928863806, 4581279.25800807)",1316.17983204,1,1
1171151838812482816,2024,1,2,2,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,Entire home/apt,2,3,3,650,83,0,0,NA,NA,NA,NA,NA,NA,"c(434625.628423778, 4584039.45497318)",1334.33646724,2,0
1171157707456850176,2012,2,2,2,Can Peguera,Nou Barris,Private room,0,1,1,33,0,124,1,2025-02-19,5,5,5,5,4,"c(430540.962255708, 4587243.99690862)",1081.44121605,3,1
1171172578626367488,2022,1,2,2,la Nova Esquerra de l'Eixample,Eixample,Private room,1,1,1,160,89,0,0,NA,NA,NA,NA,NA,NA,"c(429170.378770447, 4581309.18198331)",1334.33646724,2,0
